"message","date_time"
"Cannot fetch user payment details","03/04/2025 12:14:07"
"Database Connection Error: payments is not iterable","03/04/2025 12:14:07"
"Cannot fetch user payment details","03/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","03/04/2025 15:00:03"
"Cannot fetch user payment details","03/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","03/04/2025 21:00:03"
"Cannot fetch user payment details","04/04/2025 03:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 03:00:03"
"Cannot fetch user payment details","04/04/2025 06:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 06:00:03"
"Cannot fetch user payment details","04/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 09:00:03"
"Cannot fetch user payment details","04/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 12:00:03"
"Cannot fetch user payment details","04/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 18:00:03"
"Cannot fetch user payment details","04/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","04/04/2025 21:00:03"
"Cannot fetch user payment details","05/04/2025 00:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 00:00:03"
"Cannot fetch user payment details","05/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 09:00:03"
"Cannot fetch user payment details","05/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 12:00:03"
"Cannot fetch user payment details","05/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 15:00:03"
"Cannot fetch user payment details","05/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 18:00:03"
"Cannot fetch user payment details","05/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","05/04/2025 21:00:03"
"Cannot fetch user payment details","06/04/2025 03:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 03:00:03"
"Cannot fetch user payment details","06/04/2025 06:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 06:00:03"
"Cannot fetch user payment details","06/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 09:00:03"
"Cannot fetch user payment details","06/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 12:00:03"
"Cannot fetch user payment details","06/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 15:00:03"
"Cannot fetch user payment details","06/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 18:00:03"
"Cannot fetch user payment details","06/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","06/04/2025 21:00:03"
"Cannot fetch user payment details","07/04/2025 03:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 03:00:03"
"Cannot fetch user payment details","07/04/2025 06:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 06:00:03"
"Cannot fetch user payment details","07/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 09:00:03"
"Cannot fetch user payment details","07/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 12:00:03"
"Cannot fetch user payment details","07/04/2025 15:00:02"
"Database Connection Error: payments is not iterable","07/04/2025 15:00:02"
"Cannot fetch user payment details","07/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 18:00:03"
"Cannot fetch user payment details","07/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","07/04/2025 21:00:03"
"Cannot fetch user payment details","08/04/2025 03:00:03"
"Database Connection Error: payments is not iterable","08/04/2025 03:00:03"
"Cannot fetch user payment details","08/04/2025 06:00:03"
"Database Connection Error: payments is not iterable","08/04/2025 06:00:03"
"Cannot fetch user payment details","08/04/2025 09:00:04"
"Database Connection Error: payments is not iterable","08/04/2025 09:00:04"
"Cannot fetch user payment details","08/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","08/04/2025 12:00:03"
"Cannot fetch user payment details","08/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","08/04/2025 15:00:03"
"Cannot fetch user payment details","08/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","08/04/2025 18:00:03"
"Cannot fetch user payment details","08/04/2025 21:00:04"
"Database Connection Error: payments is not iterable","08/04/2025 21:00:04"
"Database Connection Error: Failed to connect to 124.43.16.80:1433 in 15000ms","09/04/2025 03:00:15"
"Database Connection Error: Failed to connect to 124.43.16.80:1433 in 15000ms","09/04/2025 06:00:15"
"Cannot fetch user payment details","09/04/2025 09:00:04"
"Database Connection Error: payments is not iterable","09/04/2025 09:00:04"
"Cannot fetch user payment details","09/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","09/04/2025 12:00:03"
"Cannot fetch user payment details","09/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","09/04/2025 15:00:03"
"Cannot fetch user payment details","09/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","09/04/2025 18:00:03"
"Cannot fetch user payment details","09/04/2025 21:00:03"
"Database Connection Error: payments is not iterable","09/04/2025 21:00:03"
"Cannot fetch user payment details","10/04/2025 03:00:03"
"Database Connection Error: payments is not iterable","10/04/2025 03:00:03"
"Cannot fetch user payment details","10/04/2025 06:00:03"
"Database Connection Error: payments is not iterable","10/04/2025 06:00:03"
"Cannot fetch user payment details","10/04/2025 09:00:03"
"Database Connection Error: payments is not iterable","10/04/2025 09:00:03"
"Cannot fetch user payment details","10/04/2025 12:00:04"
"Database Connection Error: payments is not iterable","10/04/2025 12:00:04"
"Cannot fetch user payment details","10/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","10/04/2025 15:00:03"
"Cannot fetch user payment details","10/04/2025 18:00:03"
"Database Connection Error: payments is not iterable","10/04/2025 18:00:03"
"Cannot fetch user payment details","10/04/2025 21:00:07"
"Database Connection Error: payments is not iterable","10/04/2025 21:00:07"
"Cannot fetch user payment details","11/04/2025 03:00:08"
"Database Connection Error: payments is not iterable","11/04/2025 03:00:08"
"Cannot fetch user payment details","11/04/2025 06:00:09"
"Database Connection Error: payments is not iterable","11/04/2025 06:00:09"
"Cannot fetch user payment details","11/04/2025 09:00:08"
"Database Connection Error: payments is not iterable","11/04/2025 09:00:08"
"Cannot fetch user payment details","11/04/2025 12:00:03"
"Database Connection Error: payments is not iterable","11/04/2025 12:00:03"
"Cannot fetch user payment details","11/04/2025 15:00:03"
"Database Connection Error: payments is not iterable","11/04/2025 15:00:03"
"Cannot fetch user payment details","11/04/2025 18:00:02"
"Database Connection Error: payments is not iterable","11/04/2025 18:00:02"
"Cannot fetch user payment details","11/04/2025 21:00:05"
"Database Connection Error: payments is not iterable","11/04/2025 21:00:05"
"Cannot fetch user payment details","12/04/2025 03:00:05"
"Database Connection Error: payments is not iterable","12/04/2025 03:00:05"
