"message","date_time"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":61,""recordImported"":61,""recordsReceived"":61,""recordsImported"":61,""errorDetails"":null,""defectiveRowNos"":0}","04/04/2025, 00:00:21"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Failed"",""recordReceived"":0,""recordImported"":0,""recordsReceived"":0,""recordsImported"":0,""errorDetails"":""Invalid ReceiptDate on Item Index 0."",""defectiveRowNos"":0}","05/04/2025, 03:00:26"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":56,""recordImported"":56,""recordsReceived"":56,""recordsImported"":56,""errorDetails"":null,""defectiveRowNos"":0}","05/04/2025, 06:00:25"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":79,""recordImported"":79,""recordsReceived"":79,""recordsImported"":79,""errorDetails"":null,""defectiveRowNos"":0}","06/04/2025, 00:00:30"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":60,""recordImported"":60,""recordsReceived"":60,""recordsImported"":60,""errorDetails"":null,""defectiveRowNos"":0}","07/04/2025, 00:00:27"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":55,""recordImported"":55,""recordsReceived"":55,""recordsImported"":55,""errorDetails"":null,""defectiveRowNos"":0}","08/04/2025, 00:00:21"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":64,""recordImported"":64,""recordsReceived"":64,""recordsImported"":64,""errorDetails"":null,""defectiveRowNos"":0}","09/04/2025, 00:00:25"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":81,""recordImported"":81,""recordsReceived"":81,""recordsImported"":81,""errorDetails"":null,""defectiveRowNos"":0}","10/04/2025, 00:00:29"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":80,""recordImported"":80,""recordsReceived"":80,""recordsImported"":80,""errorDetails"":null,""defectiveRowNos"":0}","11/04/2025, 00:00:47"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":120,""recordImported"":120,""recordsReceived"":120,""recordsImported"":120,""errorDetails"":null,""defectiveRowNos"":0}","12/04/2025, 00:00:45"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":137,""recordImported"":137,""recordsReceived"":137,""recordsImported"":137,""errorDetails"":null,""defectiveRowNos"":0}","13/04/2025, 00:00:47"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":32,""recordImported"":32,""recordsReceived"":32,""recordsImported"":32,""errorDetails"":null,""defectiveRowNos"":0}","13/04/2025, 21:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","16/04/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":34,""recordImported"":34,""recordsReceived"":34,""recordsImported"":34,""errorDetails"":null,""defectiveRowNos"":0}","17/04/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":23,""recordImported"":23,""recordsReceived"":23,""recordsImported"":23,""errorDetails"":null,""defectiveRowNos"":0}","18/04/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":36,""recordImported"":36,""recordsReceived"":36,""recordsImported"":36,""errorDetails"":null,""defectiveRowNos"":0}","19/04/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":25,""recordImported"":25,""recordsReceived"":25,""recordsImported"":25,""errorDetails"":null,""defectiveRowNos"":0}","20/04/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":48,""recordImported"":48,""recordsReceived"":48,""recordsImported"":48,""errorDetails"":null,""defectiveRowNos"":0}","21/04/2025, 00:00:20"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":19,""recordImported"":19,""recordsReceived"":19,""recordsImported"":19,""errorDetails"":null,""defectiveRowNos"":0}","22/04/2025, 00:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":20,""recordImported"":20,""recordsReceived"":20,""recordsImported"":20,""errorDetails"":null,""defectiveRowNos"":0}","23/04/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":16,""recordImported"":16,""recordsReceived"":16,""recordsImported"":16,""errorDetails"":null,""defectiveRowNos"":0}","24/04/2025, 00:00:19"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":32,""recordImported"":32,""recordsReceived"":32,""recordsImported"":32,""errorDetails"":null,""defectiveRowNos"":0}","30/04/2025, 12:00:15"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":26,""recordImported"":26,""recordsReceived"":26,""recordsImported"":26,""errorDetails"":null,""defectiveRowNos"":0}","01/05/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":23,""recordImported"":23,""recordsReceived"":23,""recordsImported"":23,""errorDetails"":null,""defectiveRowNos"":0}","01/05/2025, 21:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":19,""recordImported"":19,""recordsReceived"":19,""recordsImported"":19,""errorDetails"":null,""defectiveRowNos"":0}","03/05/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":48,""recordImported"":48,""recordsReceived"":48,""recordsImported"":48,""errorDetails"":null,""defectiveRowNos"":0}","04/05/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":21,""recordImported"":21,""recordsReceived"":21,""recordsImported"":21,""errorDetails"":null,""defectiveRowNos"":0}","05/05/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":21,""recordImported"":21,""recordsReceived"":21,""recordsImported"":21,""errorDetails"":null,""defectiveRowNos"":0}","06/05/2025, 12:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":16,""recordImported"":16,""recordsReceived"":16,""recordsImported"":16,""errorDetails"":null,""defectiveRowNos"":0}","07/05/2025, 00:00:10"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","08/05/2025, 12:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":18,""recordImported"":18,""recordsReceived"":18,""recordsImported"":18,""errorDetails"":null,""defectiveRowNos"":0}","09/05/2025, 09:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":106,""recordImported"":106,""recordsReceived"":106,""recordsImported"":106,""errorDetails"":null,""defectiveRowNos"":0}","14/05/2025, 12:00:43"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":28,""recordImported"":28,""recordsReceived"":28,""recordsImported"":28,""errorDetails"":null,""defectiveRowNos"":0}","15/05/2025, 12:00:11"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":26,""recordImported"":26,""recordsReceived"":26,""recordsImported"":26,""errorDetails"":null,""defectiveRowNos"":0}","16/05/2025, 12:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":68,""recordImported"":68,""recordsReceived"":68,""recordsImported"":68,""errorDetails"":null,""defectiveRowNos"":0}","19/05/2025, 12:00:25"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":11,""recordImported"":11,""recordsReceived"":11,""recordsImported"":11,""errorDetails"":null,""defectiveRowNos"":0}","20/05/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":12,""recordImported"":12,""recordsReceived"":12,""recordsImported"":12,""errorDetails"":null,""defectiveRowNos"":0}","21/05/2025, 00:00:32"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":31,""recordImported"":31,""recordsReceived"":31,""recordsImported"":31,""errorDetails"":null,""defectiveRowNos"":0}","22/05/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":35,""recordImported"":35,""recordsReceived"":35,""recordsImported"":35,""errorDetails"":null,""defectiveRowNos"":0}","23/05/2025, 00:00:13"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":31,""recordImported"":31,""recordsReceived"":31,""recordsImported"":31,""errorDetails"":null,""defectiveRowNos"":0}","24/05/2025, 00:00:17"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":31,""recordImported"":31,""recordsReceived"":31,""recordsImported"":31,""errorDetails"":null,""defectiveRowNos"":0}","25/05/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":73,""recordImported"":73,""recordsReceived"":73,""recordsImported"":73,""errorDetails"":null,""defectiveRowNos"":0}","26/05/2025, 00:00:26"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":27,""recordImported"":27,""recordsReceived"":27,""recordsImported"":27,""errorDetails"":null,""defectiveRowNos"":0}","27/05/2025, 00:00:14"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":21,""recordImported"":21,""recordsReceived"":21,""recordsImported"":21,""errorDetails"":null,""defectiveRowNos"":0}","28/05/2025, 00:00:12"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":38,""recordImported"":38,""recordsReceived"":38,""recordsImported"":38,""errorDetails"":null,""defectiveRowNos"":0}","29/05/2025, 00:00:16"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":50,""recordImported"":50,""recordsReceived"":50,""recordsImported"":50,""errorDetails"":null,""defectiveRowNos"":0}","30/05/2025, 00:00:18"
"API Call Successful: {""batchCode"":""26092024150651"",""returnStatus"":""Success"",""recordReceived"":29,""recordImported"":29,""recordsReceived"":29,""recordsImported"":29,""errorDetails"":null,""defectiveRowNos"":0}","31/05/2025, 00:00:15"
